run_ts         , dataset        , scenario, model                        , temperature, aggregator          , extremizing_alpha, public_ratio, bm25 , num_agents, num_rounds, n  , brier_mean, brier_median, accuracy
20260711_170043,rows_1-10,s1,gpt-5.4-mini,0.7,mean,,0.5,False,3,2,10,0.34106,0.24505,0.6
20260711_170043,rows_1-10,s2,gpt-5.4-mini,0.7,mean,,0.5,False,3,2,10,0.32827,0.1952,0.6
20260711_170439,polymarket_375_with_evidence,s1,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,375,0.22983,0.17672,0.592
20260711_170439,polymarket_375_with_evidence,s2,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,375,0.21914,0.18098,0.6027
20260711_173153,futurex_past_with_evidence,s1,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,231,0.27354,0.17896,0.5671
20260711_173153,futurex_past_with_evidence,s2,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,231,0.24947,0.1636,0.6104
20260711_175245,futurex_past_with_evidence,s0,gpt-5.4-mini,0.7,mean,,0.5,False,3,2,231,0.26112,0.1764,0.6061
20260711_175301,forecastbench_2606621_with_evidence,s0,gpt-5.4-mini,0.7,mean,,0.5,False,3,2,233,0.19449,0.1936,0.6738
20260711_175218,polymarket_375_with_evidence,s0,gpt-5.4-mini,0.7,mean,,0.5,False,3,2,375,0.2284,0.1764,0.5813
20260711_174448,forecastbench_2606621_with_evidence,s2,gpt-5.4-mini,0.7,mean,,1.0,False,3,2,233,0.17711,0.17084,0.7253
20260711_174421,futurex_past_with_evidence,s2,gpt-5.4-mini,0.7,mean,,1.0,False,3,2,231,0.24329,0.15734,0.6017
20260711_173944,polymarket_375_with_evidence,s2,gpt-5.4-mini,0.7,mean,,1.0,False,3,2,375,0.21709,0.1849,0.6
20260711_174834,forecastbench_2606621_with_evidence,s1,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,233,0.18209,0.18309,0.6996
20260711_174834,forecastbench_2606621_with_evidence,s2,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,233,0.18285,0.18748,0.6953
20260711_180328,forecastbench_2606621_with_evidence,s1,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,233,0.1831,0.174,0.6996
20260711_180328,forecastbench_2606621_with_evidence,s2,gpt-5.4-mini,0.7,confidence_weighted,,0.5,True,3,2,233,0.18273,0.18658,0.7039
20260713_005822,polymarket_250_with_evidence,s2,gpt-5.4-mini,0.7,mean,,1.0,True,3,2,250,0.18153,0.0841,0.72
20260713_005805,polymarket_250_with_evidence,s2,gpt-5.4-mini,0.7,mean,,0.5,True,3,2,250,0.1623,0.08314,0.732
20260713_005805,polymarket_250_with_evidence,s1,gpt-5.4-mini,0.7,mean,,0.5,True,3,1,250,0.1694,0.507,0.732
20260713_042122,polymarket_250_with_evidence,s1,gpt-5.4-mini,0.7,mean,,0.5,True,3,2,250,0.16982,0.09509,0.736
20260713_042122,polymarket_250_with_evidence,s2,gpt-5.4-mini,0.7,mean,,0.5,True,3,2,250,0.16467,0.07654,0.748
