topic,event_count,market_count_by_description,market_share,event_popularity_score,event_popularity_share,recommended_market_quota
Crypto,26550,31546,0.312972,258899.520342,0.597278,299
ScienceTech,5211,27874,0.276541,39394.943584,0.090884,45
Sports,8714,20799,0.206350,95325.978331,0.219916,110
Politics,1093,7572,0.075123,14477.520469,0.033399,17
Business,1293,4946,0.049070,12766.645584,0.029453,15
Other,488,3527,0.034992,5544.016024,0.012790,6
Geopolitics,150,2209,0.021916,2159.207874,0.004981,2
Entertainment,178,1886,0.018711,2531.907539,0.005841,3
Macro,163,436,0.004326,2365.800623,0.005458,3
